Order_ID,Order_Date,Vendor_ID,Product_ID,Quantity,Unit_Price,Amount
PO118360,2021-01-04,V1027,P2001,44,121.33,5338.55
PO102255,2021-01-04,V1023,P2027,64,239.28,15313.68
PO116268,2021-01-04,V1027,P2007,63,111.31,7012.42
PO112455,2021-01-04,V1001,P2002,37,590.48,21847.58
PO113221,2021-01-04,V1000,P2008,12,35.66,427.89
PO113080,2021-01-05,V1001,P2005,10,427.3,4273.04
PO114156,2021-01-05,V1001,P2020,100,21.77,2176.69
PO103145,2021-01-06,V1001,P2033,10,1264.28,12642.81
PO107842,2021-01-06,V1027,P2011,22,68.52,1507.49
PO110292,2021-01-06,V1000,P2023,28,57.26,1603.36
PO118957,2021-01-06,V1001,P2017,21,1411.73,29646.31
PO112742,2021-01-07,V1017,P2007,38,110.76,4208.91
PO121431,2021-01-07,V1001,P2035,36,246.36,8868.94
PO110959,2021-01-07,V1012,P2033,55,1192.87,65607.79
PO121734,2021-01-07,V1002,P2033,1,1217.06,1217.06
PO109634,2021-01-07,V1029,P2033,42,1250.27,52511.14
PO120296,2021-01-07,V1005,P2033,64,1135.96,72701.41
PO121748,2021-01-07,V1021,P2012,42,71.32,2995.32
PO120740,2021-01-07,V1011,P2028,51,193.66,9876.69
PO109861,2021-01-08,V1000,P2016,94,1432.6,134664.65
PO108408,2021-01-08,V1000,P2007,73,107.97,7882.1
PO112888,2021-01-09,V1004,P2025,67,174.35,11681.24
PO101849,2021-01-09,V1001,P2003,34,393.16,13367.5
PO115271,2021-01-09,V1026,P2011,48,59.96,2878.17
PO122001,2021-01-09,V1012,P2011,24,62.61,1502.63
PO110594,2021-01-09,V1000,P2025,29,185.41,5376.88
PO119641,2021-01-09,V1013,P2011,129,66.23,8544.27
PO120730,2021-01-09,V1006,P2033,55,1273.82,70060.11
PO119590,2021-01-09,V1001,P2011,23,60.98,1402.63
PO112953,2021-01-09,V1012,P2011,47,68.67,3227.48
PO122920,2021-01-10,V1016,P2003,20,374.83,7496.55
PO117249,2021-01-10,V1026,P2007,27,104.0,2807.93
PO115610,2021-01-10,V1002,P2001,17,114.03,1938.48
PO106665,2021-01-10,V1007,P2030,47,103.37,4858.25
PO111494,2021-01-10,V1006,P2011,26,60.08,1562.04
PO120243,2021-01-10,V1014,P2011,9,60.26,542.37
PO106050,2021-01-10,V1000,P2010,79,40.28,3182.29
PO111909,2021-01-10,V1019,P2011,19,69.1,1312.95
PO118674,2021-01-10,V1019,P2002,25,599.24,14981.05
PO108334,2021-01-10,V1014,P2017,83,1373.09,113966.51
PO106825,2021-01-10,V1019,P2007,16,116.6,1865.58
PO102539,2021-01-10,V1012,P2001,72,122.32,8806.71
PO113065,2021-01-11,V1000,P2032,68,107.6,7316.71
PO115296,2021-01-11,V1010,P2034,8,868.03,6944.24
PO104339,2021-01-11,V1001,P2011,38,61.25,2327.41
PO117102,2021-01-11,V1013,P2025,18,186.14,3350.5
PO113013,2021-01-11,V1019,P2034,19,950.51,18059.61
PO111854,2021-01-11,V1000,P2030,35,95.71,3349.84
PO117100,2021-01-11,V1028,P2028,17,185.07,3146.22
PO108801,2021-01-12,V1020,P2034,109,990.5,107964.77
PO123146,2021-01-12,V1011,P2012,16,63.94,1023.0
PO115928,2021-01-12,V1000,P2024,34,59.01,2006.46
PO121315,2021-01-12,V1014,P2011,80,67.56,5404.6
PO118979,2021-01-12,V1018,P2012,21,66.44,1395.24
PO111923,2021-01-12,V1001,P2007,19,102.28,1943.24
PO114225,2021-01-12,V1002,P2020,26,21.02,546.57
PO102560,2021-01-12,V1000,P2000,44,267.36,11763.92
PO111279,2021-01-12,V1002,P2034,32,930.06,29761.78
PO100749,2021-01-12,V1009,P2033,96,1139.0,109343.67
PO101354,2021-01-13,V1002,P2011,25,65.34,1633.41
PO113128,2021-01-13,V1001,P2011,55,61.59,3387.27
PO118808,2021-01-13,V1026,P2032,27,116.25,3138.79
PO100136,2021-01-13,V1022,P2035,35,268.46,9396.18
PO109793,2021-01-13,V1004,P2002,58,576.67,33446.72
PO101829,2021-01-14,V1012,P2001,39,126.4,4929.79
PO115899,2021-01-14,V1001,P2008,10,35.12,351.24
PO103245,2021-01-14,V1029,P2018,25,910.28,22757.05
PO108880,2021-01-14,V1009,P2035,18,248.68,4476.17
PO102222,2021-01-14,V1028,P2008,2,35.23,70.46
PO107650,2021-01-14,V1015,P2020,10,20.52,205.25
PO109958,2021-01-14,V1001,P2012,29,72.81,2111.56
PO119244,2021-01-15,V1024,P2017,94,1316.72,123771.88
PO109107,2021-01-15,V1012,P2030,14,92.48,1294.74
PO109414,2021-01-15,V1008,P2011,31,62.71,1943.86
PO100000,2021-01-15,V1000,P2001,32,121.38,3884.22
PO122318,2021-01-15,V1022,P2034,16,908.99,14543.87
PO110838,2021-01-15,V1001,P2033,53,1127.5,59757.55
PO101411,2021-01-15,V1000,P2015,43,1252.06,53838.66
PO111674,2021-01-15,V1008,P2012,38,65.89,2503.7
PO111719,2021-01-15,V1005,P2030,44,99.0,4356.17
PO110703,2021-01-15,V1016,P2011,56,68.12,3814.72
PO106499,2021-01-15,V1000,P2011,27,64.96,1753.83
PO115152,2021-01-16,V1000,P2025,13,166.33,2162.34
PO116585,2021-01-16,V1000,P2035,75,274.47,20585.21
PO112373,2021-01-16,V1012,P2034,76,926.51,70414.75
PO112915,2021-01-16,V1023,P2016,41,1466.69,60134.49
PO121179,2021-01-16,V1002,P2011,19,64.03,1216.59
PO122956,2021-01-16,V1006,P2001,39,130.68,5096.61
PO104828,2021-01-16,V1001,P2026,12,513.74,6164.89
PO105267,2021-01-16,V1006,P2000,37,295.73,10941.94
PO101096,2021-01-17,V1000,P2009,50,82.84,4142.22
PO104431,2021-01-17,V1017,P2028,77,190.73,14686.35
PO121929,2021-01-17,V1004,P2033,90,1232.07,110886.33
PO103840,2021-01-17,V1002,P2007,21,117.51,2467.78
PO115448,2021-01-17,V1012,P2011,84,69.02,5797.61
PO121042,2021-01-17,V1000,P2034,11,920.55,10126.03
PO116255,2021-01-17,V1000,P2034,22,964.4,21216.72
PO100056,2021-01-18,V1012,P2001,24,127.05,3049.19
PO103672,2021-01-18,V1000,P2014,78,1551.46,121013.92
PO104698,2021-01-18,V1001,P2014,34,1494.64,50817.91
PO122694,2021-01-18,V1002,P2012,22,62.86,1382.93
PO122686,2021-01-18,V1019,P2025,76,175.17,13312.54
PO109944,2021-01-18,V1000,P2027,43,223.54,9612.31
PO108108,2021-01-18,V1018,P2033,91,1198.93,109102.99
PO105875,2021-01-18,V1008,P2034,52,906.96,47162.15
PO120357,2021-01-19,V1004,P2034,23,989.96,22769.1
PO105790,2021-01-19,V1000,P2001,122,131.11,15995.49
PO113327,2021-01-19,V1011,P2001,5,126.18,630.91
PO106881,2021-01-19,V1000,P2034,95,949.21,90175.11
PO110219,2021-01-19,V1009,P2012,11,63.07,693.82
PO117264,2021-01-19,V1000,P2033,37,1265.49,46823.01
PO117300,2021-01-19,V1015,P2030,51,98.21,5008.83
PO105163,2021-01-19,V1001,P2034,26,972.28,25279.4
PO106278,2021-01-19,V1021,P2001,42,123.65,5193.42
PO115923,2021-01-20,V1026,P2017,45,1274.67,57360.03
PO102223,2021-01-20,V1001,P2033,11,1244.47,13689.2
PO111356,2021-01-20,V1001,P2003,14,400.63,5608.86
PO102689,2021-01-20,V1000,P2020,65,19.98,1298.55
PO116913,2021-01-20,V1025,P2029,3,357.43,1072.28
PO112585,2021-01-20,V1011,P2001,7,116.74,817.2
PO116820,2021-01-20,V1015,P2003,36,362.42,13047.19
PO114826,2021-01-20,V1027,P2002,75,586.84,44012.94
PO101443,2021-01-20,V1005,P2002,32,602.89,19292.62
PO109323,2021-01-21,V1001,P2009,49,75.73,3711.01
PO109951,2021-01-21,V1000,P2025,30,168.44,5053.1
PO119354,2021-01-21,V1018,P2011,50,69.57,3478.53
PO111211,2021-01-21,V1008,P2018,6,905.11,5430.65
PO119784,2021-01-21,V1002,P2033,16,1164.73,18635.64
PO113409,2021-01-21,V1013,P2028,16,167.69,2683.07
PO117419,2021-01-21,V1002,P2007,38,105.25,3999.64
PO107797,2021-01-22,V1023,P2001,20,129.55,2591.0
PO111698,2021-01-22,V1001,P2033,37,1129.6,41795.05
PO115041,2021-01-22,V1000,P2001,33,132.34,4367.23
PO112246,2021-01-22,V1017,P2031,61,937.13,57165.1
PO103026,2021-01-22,V1000,P2000,40,279.15,11166.09
PO103241,2021-01-22,V1002,P2001,35,125.0,4374.94
PO106481,2021-01-22,V1022,P2002,46,566.04,26037.92
PO114318,2021-01-22,V1020,P2013,6,282.23,1693.41
PO105785,2021-01-22,V1015,P2011,11,60.86,669.42
PO107502,2021-01-22,V1022,P2011,78,69.49,5420.37
PO110715,2021-01-23,V1026,P2034,23,935.73,21521.86
PO114155,2021-01-23,V1005,P2030,18,102.61,1847.04
PO110419,2021-01-23,V1003,P2018,28,961.84,26931.66
PO103035,2021-01-23,V1001,P2003,18,358.48,6452.57
PO122725,2021-01-23,V1000,P2033,11,1254.02,13794.24
PO121564,2021-01-23,V1012,P2023,32,50.06,1602.08
PO102746,2021-01-23,V1002,P2028,9,190.97,1718.76
PO122826,2021-01-23,V1014,P2017,45,1450.43,65269.51
PO102456,2021-01-23,V1017,P2011,74,68.43,5063.82
PO106461,2021-01-24,V1011,P2011,18,66.89,1203.97
PO107158,2021-01-24,V1000,P2011,11,60.45,665.0
PO113906,2021-01-24,V1025,P2034,22,973.49,21416.73
PO105311,2021-01-24,V1019,P2034,12,943.71,11324.47
PO117889,2021-01-24,V1001,P2011,47,62.41,2933.16
PO122325,2021-01-24,V1028,P2001,31,127.16,3942.09
PO118944,2021-01-24,V1014,P2032,30,113.26,3397.75
PO109324,2021-01-24,V1016,P2011,33,65.35,2156.43
PO107790,2021-01-24,V1000,P2024,34,60.18,2046.08
PO101814,2021-01-24,V1001,P2028,13,172.95,2248.32
PO107028,2021-01-24,V1007,P2035,76,273.98,20822.1
PO100133,2021-01-24,V1025,P2001,87,131.76,11462.81
PO113739,2021-01-24,V1011,P2034,19,980.79,18634.96
PO109668,2021-01-24,V1002,P2019,59,130.12,7676.87
PO108608,2021-01-24,V1000,P2015,13,1241.44,16138.68
PO116280,2021-01-25,V1012,P2034,13,893.04,11609.56
PO118327,2021-01-25,V1002,P2001,45,128.78,5795.16
PO118363,2021-01-25,V1000,P2025,7,173.75,1216.27
PO108822,2021-01-25,V1025,P2011,84,68.59,5761.75
PO117769,2021-01-25,V1025,P2034,70,886.06,62024.07
PO115805,2021-01-25,V1001,P2011,23,68.86,1583.76
PO117174,2021-01-25,V1001,P2005,37,416.21,15399.77
PO115609,2021-01-25,V1006,P2014,22,1483.54,32637.83
PO113914,2021-01-25,V1009,P2003,44,356.62,15691.06
PO108519,2021-01-25,V1001,P2012,52,67.26,3497.71
PO105402,2021-01-25,V1021,P2001,51,123.89,6318.38
PO113516,2021-01-25,V1029,P2011,132,60.21,7948.26
PO119445,2021-01-25,V1029,P2009,12,75.44,905.22
PO101211,2021-01-25,V1009,P2033,49,1256.74,61580.31
PO110414,2021-01-26,V1008,P2007,25,102.25,2556.2
PO120576,2021-01-26,V1002,P2007,50,103.8,5189.84
PO104684,2021-01-26,V1000,P2034,44,990.29,43572.8
PO121023,2021-01-26,V1000,P2033,44,1108.71,48783.12
PO102277,2021-01-26,V1015,P2000,137,273.32,37444.7
PO111696,2021-01-26,V1007,P2020,58,19.34,1121.62
PO118652,2021-01-26,V1000,P2011,36,66.39,2389.93
PO102620,2021-01-26,V1027,P2006,44,72.91,3208.23
PO117760,2021-01-26,V1002,P2033,31,1273.97,39493.13
PO103199,2021-01-26,V1001,P2025,10,187.47,1874.7
PO121585,2021-01-26,V1001,P2002,36,543.22,19555.91
PO106431,2021-01-26,V1000,P2033,20,1145.79,22915.84
PO119776,2021-01-26,V1002,P2011,15,69.61,1044.09
PO106411,2021-01-26,V1013,P2025,22,175.99,3871.81
PO122728,2021-01-26,V1022,P2033,38,1266.26,48118.04
PO112932,2021-01-26,V1008,P2030,21,98.89,2076.65
PO115112,2021-01-27,V1017,P2003,63,391.96,24693.71
PO115293,2021-01-27,V1000,P2034,32,909.62,29107.94
PO105229,2021-01-27,V1000,P2034,34,858.39,29185.3
PO103638,2021-01-27,V1019,P2035,4,257.14,1028.55
PO111318,2021-01-28,V1012,P2033,69,1163.78,80300.76
PO104615,2021-01-28,V1002,P2034,12,932.31,11187.71
PO100873,2021-01-28,V1019,P2034,14,928.3,12996.16
PO108180,2021-01-28,V1028,P2010,22,39.77,874.84
PO101671,2021-01-28,V1012,P2032,14,105.0,1470.02
PO112827,2021-01-28,V1018,P2002,56,536.07,30020.07
PO122317,2021-01-28,V1007,P2034,29,977.8,28356.18
PO121165,2021-01-28,V1014,P2011,50,59.71,2985.48
PO100335,2021-01-28,V1001,P2000,63,265.73,16740.68
PO111837,2021-01-28,V1011,P2034,30,955.99,28679.6
PO103710,2021-01-28,V1011,P2034,66,997.73,65849.9
PO122467,2021-01-28,V1002,P2032,9,113.76,1023.82
PO119479,2021-01-28,V1023,P2011,16,67.17,1074.71
PO111223,2021-01-29,V1024,P2028,39,165.54,6456.03
PO112217,2021-01-29,V1027,P2020,20,21.03,420.67
PO100384,2021-01-29,V1027,P2034,5,865.72,4328.61
PO121170,2021-01-29,V1001,P2007,100,102.31,10230.72
PO108912,2021-01-29,V1001,P2009,34,78.16,2657.41
PO102905,2021-01-29,V1000,P2001,43,120.27,5171.7
PO103892,2021-01-29,V1027,P2034,26,979.88,25476.9
PO110646,2021-01-29,V1013,P2033,45,1268.92,57101.23
PO121738,2021-01-29,V1001,P2025,12,161.23,1934.71
PO122695,2021-01-29,V1021,P2012,15,72.82,1092.34
PO108891,2021-01-30,V1000,P2012,96,62.98,6045.91
PO121115,2021-01-30,V1001,P2012,20,69.26,1385.22
PO101192,2021-01-30,V1021,P2034,21,880.55,18491.61
PO108351,2021-01-30,V1000,P2033,38,1133.1,43057.64
PO102288,2021-01-30,V1005,P2011,73,66.4,4847.48
PO107525,2021-01-30,V1000,P2028,29,193.57,5613.47
PO118525,2021-01-30,V1008,P2034,13,900.37,11704.87
PO110183,2021-01-30,V1011,P2034,31,926.79,28730.47
PO113729,2021-01-30,V1028,P2034,40,893.74,35749.74
PO116743,2021-01-31,V1001,P2034,30,878.77,26363.13
PO118942,2021-01-31,V1000,P2011,35,66.58,2330.16
PO102745,2021-01-31,V1018,P2001,36,130.94,4713.84
PO121702,2021-01-31,V1026,P2035,55,250.88,13798.55
PO104997,2021-01-31,V1005,P2028,30,169.05,5071.54
PO101727,2021-01-31,V1026,P2034,39,987.67,38519.17
PO115278,2021-01-31,V1015,P2034,19,953.82,18122.51
PO102935,2021-01-31,V1000,P2025,26,176.52,4589.65
PO114629,2021-01-31,V1001,P2009,37,87.37,3232.62
PO100398,2021-01-31,V1022,P2025,86,160.89,13836.93
PO118288,2021-01-31,V1009,P2001,32,123.04,3937.28
PO109870,2021-01-31,V1000,P2002,71,541.67,38458.88
PO108621,2021-01-31,V1000,P2015,36,1093.39,39361.96
PO123052,2021-01-31,V1001,P2020,30,20.53,615.76
PO101680,2021-01-31,V1000,P2002,11,601.84,6620.23
PO109308,2021-01-31,V1014,P2034,33,907.71,29954.53
PO115241,2021-02-01,V1027,P2011,81,63.56,5148.23
PO102059,2021-02-01,V1002,P2001,65,123.82,8048.17
PO102152,2021-02-01,V1000,P2002,21,573.93,12052.62
PO111768,2021-02-01,V1001,P2017,25,1443.93,36098.19
PO112133,2021-02-01,V1000,P2025,58,182.12,10563.19
PO114219,2021-02-02,V1001,P2003,25,380.85,9521.23
PO112454,2021-02-02,V1002,P2008,60,33.59,2015.42
PO107711,2021-02-02,V1000,P2011,75,60.23,4517.51
PO100826,2021-02-02,V1005,P2011,25,64.2,1604.9
PO120500,2021-02-02,V1013,P2012,57,70.54,4021.04
PO121611,2021-02-02,V1008,P2011,45,60.96,2743.08
PO106740,2021-02-02,V1000,P2011,20,67.96,1359.21
PO108792,2021-02-02,V1017,P2012,53,69.84,3701.44
PO104083,2021-02-02,V1027,P2001,50,117.66,5883.1
PO107405,2021-02-02,V1002,P2020,36,21.42,771.27
PO119309,2021-02-02,V1029,P2001,11,113.55,1249.05
PO105918,2021-02-03,V1024,P2001,18,132.02,2376.31
PO100768,2021-02-03,V1001,P2001,17,116.54,1981.16
PO115310,2021-02-03,V1000,P2033,21,1163.99,24443.87
PO118085,2021-02-03,V1006,P2012,60,63.14,3788.7
PO118315,2021-02-03,V1008,P2033,41,1230.77,50461.53
PO104740,2021-02-03,V1000,P2008,96,36.89,3541.77
PO117705,2021-02-03,V1001,P2034,35,885.7,30999.4
PO113815,2021-02-04,V1023,P2001,37,123.37,4564.74
PO104024,2021-02-04,V1029,P2011,9,68.99,620.88
PO113709,2021-02-04,V1025,P2002,37,537.07,19871.43
PO113688,2021-02-04,V1010,P2034,72,978.89,70480.14
PO114410,2021-02-04,V1024,P2002,43,564.46,24271.83
PO121059,2021-02-04,V1010,P2028,29,165.27,4792.72
PO120802,2021-02-04,V1009,P2001,29,130.53,3785.36
PO119254,2021-02-04,V1000,P2002,39,605.15,23600.78
PO103045,2021-02-04,V1009,P2025,22,185.68,4084.96
PO112084,2021-02-04,V1029,P2023,28,52.44,1468.45
PO107777,2021-02-04,V1027,P2034,17,1001.26,17021.36
PO105274,2021-02-05,V1001,P2034,60,974.24,58454.66
PO110602,2021-02-05,V1000,P2024,45,66.62,2997.99
PO108193,2021-02-05,V1008,P2025,19,161.7,3072.36
PO104474,2021-02-05,V1027,P2031,39,1041.97,40636.95
PO118832,2021-02-05,V1001,P2030,36,103.98,3743.15
PO117267,2021-02-05,V1000,P2020,27,19.38,523.38
PO109943,2021-02-05,V1001,P2033,18,1166.83,21002.91
PO105913,2021-02-05,V1015,P2002,12,521.23,6254.81
PO100491,2021-02-06,V1010,P2030,18,93.95,1691.05
PO102461,2021-02-06,V1001,P2035,27,248.02,6696.6
PO110063,2021-02-06,V1024,P2026,24,480.7,11536.82
PO103347,2021-02-06,V1016,P2034,30,995.7,29871.04
PO121325,2021-02-06,V1000,P2011,28,66.71,1868.01
PO100260,2021-02-06,V1012,P2009,36,83.5,3005.91
PO120163,2021-02-06,V1008,P2001,45,132.39,5957.55
PO102610,2021-02-07,V1026,P2001,42,130.19,5468.05
PO112075,2021-02-07,V1025,P2013,91,311.59,28354.35
PO109720,2021-02-07,V1020,P2011,8,60.71,485.66
PO111789,2021-02-07,V1001,P2033,34,1272.66,43270.37
PO109763,2021-02-07,V1012,P2001,63,130.35,8212.18
PO107993,2021-02-07,V1003,P2000,27,298.27,8053.35
PO108546,2021-02-07,V1017,P2012,39,69.96,2728.4
PO120961,2021-02-07,V1000,P2020,23,21.28,489.55
PO115852,2021-02-07,V1012,P2026,83,468.53,38887.82
PO110677,2021-02-08,V1000,P2033,13,1138.65,14802.51
PO118919,2021-02-08,V1003,P2017,15,1299.87,19498.03
PO102994,2021-02-08,V1002,P2016,45,1417.34,63780.08
PO112380,2021-02-08,V1015,P2001,44,128.91,5672.26
PO119819,2021-02-08,V1008,P2034,44,936.1,41188.35
PO108397,2021-02-08,V1001,P2034,14,865.01,12110.2
PO122191,2021-02-08,V1022,P2017,27,1329.35,35892.32
PO103015,2021-02-08,V1025,P2011,49,61.65,3020.61
PO114087,2021-02-08,V1017,P2002,53,592.11,31381.89
PO122049,2021-02-08,V1014,P2033,10,1090.92,10909.18
PO109119,2021-02-09,V1017,P2034,71,856.9,60840.24
PO113955,2021-02-09,V1012,P2026,81,527.98,42766.56
PO110957,2021-02-09,V1010,P2011,14,61.42,859.82
PO100172,2021-02-09,V1020,P2034,7,865.29,6057.03
PO121039,2021-02-09,V1001,P2033,4,1261.09,5044.36
PO121546,2021-02-09,V1000,P2024,24,66.42,1594.01
PO117635,2021-02-09,V1002,P2011,45,66.97,3013.49
PO116800,2021-02-10,V1020,P2001,82,115.75,9491.86
PO118027,2021-02-10,V1004,P2001,24,117.84,2828.25
PO115687,2021-02-10,V1002,P2011,52,62.82,3266.43
PO116275,2021-02-10,V1019,P2015,7,1093.9,7657.32
PO103983,2021-02-10,V1013,P2033,20,1239.55,24790.99
PO108140,2021-02-10,V1002,P2024,13,63.23,822.04
PO105061,2021-02-10,V1007,P2027,27,218.06,5887.66
PO106613,2021-02-10,V1001,P2002,14,550.86,7712.04
PO112452,2021-02-10,V1001,P2033,22,1227.15,26997.37
PO112429,2021-02-11,V1009,P2027,76,212.01,16112.4
PO103873,2021-02-11,V1008,P2017,43,1392.77,59889.03
PO104063,2021-02-11,V1027,P2011,47,63.66,2992.23
PO117564,2021-02-11,V1004,P2033,5,1156.94,5784.72
PO100099,2021-02-11,V1004,P2024,13,59.59,774.71
PO120534,2021-02-11,V1029,P2034,28,865.64,24237.9
PO118645,2021-02-11,V1000,P2034,18,950.51,17109.16
PO111576,2021-02-11,V1026,P2011,32,68.32,2186.3
PO114705,2021-02-12,V1000,P2027,19,228.62,4343.86
PO105712,2021-02-12,V1017,P2024,18,66.53,1197.58
PO122256,2021-02-12,V1017,P2028,26,173.91,4521.57
PO105909,2021-02-12,V1029,P2011,40,68.19,2727.46
PO121683,2021-02-12,V1000,P2007,35,108.17,3785.86
PO114746,2021-02-12,V1008,P2035,18,255.26,4594.74
PO105771,2021-02-12,V1000,P2001,18,130.6,2350.81
PO116292,2021-02-12,V1019,P2030,47,105.16,4942.74
PO120841,2021-02-12,V1018,P2007,54,115.05,6212.58
PO102631,2021-02-12,V1019,P2033,58,1198.72,69525.6
PO114988,2021-02-12,V1023,P2001,32,127.7,4086.41
PO112929,2021-02-13,V1001,P2007,56,113.12,6334.94
PO116217,2021-02-13,V1015,P2008,15,32.93,493.88
PO115167,2021-02-13,V1000,P2033,20,1114.2,22283.93
PO116779,2021-02-13,V1000,P2001,24,119.34,2864.26
PO114690,2021-02-13,V1011,P2025,77,185.07,14250.7
PO116031,2021-02-13,V1018,P2012,50,65.97,3298.43
PO102636,2021-02-14,V1026,P2012,36,64.14,2309.17
PO119711,2021-02-14,V1001,P2034,14,910.87,12752.16
PO116317,2021-02-14,V1000,P2025,37,182.63,6757.15
PO111376,2021-02-14,V1003,P2011,8,62.36,498.87
PO121513,2021-02-14,V1020,P2034,20,984.25,19684.9
PO120466,2021-02-14,V1000,P2033,30,1166.65,34999.64
PO113546,2021-02-14,V1027,P2013,84,280.3,23545.6
PO117711,2021-02-14,V1008,P2034,30,907.91,27237.42
PO105566,2021-02-14,V1012,P2033,27,1166.07,31483.94
PO119169,2021-02-14,V1025,P2015,54,1175.48,63476.05
PO118688,2021-02-14,V1026,P2011,23,62.51,1437.68
PO113300,2021-02-14,V1028,P2008,55,33.95,1867.26
PO106181,2021-02-15,V1029,P2005,83,388.62,32255.39
PO121394,2021-02-15,V1026,P2006,27,77.45,2091.17
PO111052,2021-02-15,V1002,P2007,112,100.91,11302.26
PO100722,2021-02-15,V1000,P2007,45,106.7,4801.43
PO106062,2021-02-15,V1001,P2011,24,64.67,1552.09
PO119735,2021-02-15,V1006,P2001,15,113.61,1704.11
PO101001,2021-02-15,V1023,P2007,30,117.43,3523.01
PO103191,2021-02-15,V1000,P2032,69,106.43,7343.51
PO108459,2021-02-15,V1001,P2005,9,412.33,3710.94
PO102140,2021-02-15,V1003,P2011,29,67.69,1962.99
PO111449,2021-02-15,V1000,P2011,40,69.01,2760.41
PO108215,2021-02-15,V1001,P2003,24,410.52,9852.42
PO110152,2021-02-16,V1001,P2034,28,984.07,27553.94
PO121342,2021-02-16,V1000,P2025,51,181.92,9277.73
PO117839,2021-02-16,V1025,P2034,72,865.46,62313.11
PO109565,2021-02-16,V1002,P2001,20,122.22,2444.46
PO101441,2021-02-16,V1027,P2035,39,261.03,10180.07
PO107013,2021-02-16,V1000,P2001,13,125.46,1631.02
PO112870,2021-02-16,V1000,P2033,52,1257.39,65384.46
PO113532,2021-02-16,V1001,P2011,3,61.7,185.09
PO117920,2021-02-16,V1000,P2002,18,542.48,9764.64
PO110120,2021-02-16,V1000,P2034,41,915.54,37537.21
PO109665,2021-02-16,V1000,P2026,21,522.42,10970.73
PO119606,2021-02-16,V1012,P2035,25,267.46,6686.43
PO100864,2021-02-16,V1000,P2034,25,930.63,23265.8
PO114663,2021-02-16,V1000,P2027,2,219.14,438.27
PO100299,2021-02-16,V1023,P2002,10,542.67,5426.74
PO117598,2021-02-17,V1000,P2028,28,171.4,4799.18
PO109164,2021-02-17,V1029,P2001,24,131.95,3166.81
PO117532,2021-02-17,V1022,P2033,65,1173.5,76277.72
PO123019,2021-02-17,V1001,P2034,28,969.76,27153.28
PO101674,2021-02-18,V1011,P2034,90,934.02,84062.1
PO122360,2021-02-18,V1009,P2034,76,897.46,68207.15
PO102613,2021-02-18,V1000,P2034,31,969.85,30065.2
PO109528,2021-02-18,V1002,P2020,32,19.98,639.25
PO120862,2021-02-18,V1014,P2018,44,937.07,41231.01
PO106782,2021-02-18,V1012,P2011,38,65.74,2498.2
PO121499,2021-02-18,V1002,P2003,29,356.22,10330.32
PO108772,2021-02-18,V1005,P2035,76,260.71,19814.05
PO113977,2021-02-18,V1011,P2033,17,1188.57,20205.64
PO102444,2021-02-18,V1000,P2002,13,603.73,7848.51
PO103617,2021-02-18,V1020,P2033,60,1117.26,67035.66
PO103151,2021-02-18,V1001,P2007,26,112.15,2915.83
